,Name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,3_point_scored,3_point_attempted,free_throws_scored,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnover,5Yrs,Unnamed: 0,id,name,season
21,Mark Macon,76,30.3,10.6,4.4,11.7,0.1,0.4,1.8,2.4,1.1,1.8,2.2,2.0,0.2,2.0,1,,,,
22,Steven Smith,61,29.6,12.0,4.9,10.7,0.7,2.0,1.6,2.1,1.3,1.8,4.6,1.0,0.3,2.5,0,,,,
23,Mitch McGary,32,15.2,6.3,2.8,5.2,0.0,0.1,0.8,1.3,1.7,3.5,0.4,0.5,0.5,1.0,0,15.0,203956.0,Mitch McGary,2014.0
24,Larry Stewart,76,29.3,10.4,4.0,7.8,0.0,0.0,2.5,3.1,2.4,3.5,1.6,0.7,0.6,1.5,1,,,,
25,Mike Iuzzolino,52,24.6,9.3,3.1,6.8,1.1,2.6,2.1,2.5,0.5,1.4,3.7,0.6,0.0,1.8,0,,,,
26,Doug Smith,76,22.5,8.8,3.8,9.2,0.0,0.1,1.2,1.6,1.7,3.4,1.7,0.8,0.5,1.3,1,,,,
27,Paul Graham,78,22.0,10.1,3.9,8.7,0.7,1.8,1.6,2.2,0.9,2.0,2.2,1.2,0.3,1.2,0,,,,
28,Donald Hodge,51,20.7,8.4,3.2,6.4,0.0,0.0,2.0,2.9,2.3,3.1,0.8,0.5,0.5,1.5,1,,,,
29,Dale Davis,64,20.3,6.2,2.4,4.4,0.0,0.0,1.4,2.4,2.5,3.9,0.5,0.4,1.2,0.8,1,,,,
30,Stanley Roberts,55,20.3,10.4,4.3,8.1,0.0,0.0,1.8,3.6,2.1,4.1,0.7,0.4,1.5,1.4,1,,,,
31,Terrell Brandon,82,19.6,7.4,3.1,7.3,0.0,0.3,1.2,1.5,0.6,1.4,3.9,1.0,0.3,1.7,1,,,,
32,Bison Dele,48,18.9,9.1,3.6,6.8,0.0,0.0,2.0,3.0,2.4,3.3,0.7,0.8,1.1,1.8,1,,,,
33,Spencer Dinwiddie,34,13.4,4.3,1.5,5.0,0.4,1.9,0.9,1.0,0.1,1.3,3.1,0.6,0.2,1.0,0,,,,
34,Tracy Moore,42,18.6,8.5,3.1,7.7,0.7,2.0,1.5,1.9,0.7,1.2,1.1,0.8,0.1,1.1,1,,,,
35,Greg Anthony,82,18.4,5.5,2.0,5.3,0.1,0.7,1.4,1.9,0.4,1.3,3.8,0.7,0.1,1.2,1,,,,
36,Kenny Anderson,64,17.0,7.0,2.9,7.5,0.0,0.2,1.1,1.5,0.6,1.4,3.2,1.1,0.1,1.5,1,,,,
37,Victor Alexander,80,16.9,7.4,3.0,5.7,0.0,0.0,1.3,1.9,1.3,2.9,0.4,0.6,0.8,1.1,1,,,,
38,David Benoit,77,15.1,5.6,2.3,4.9,0.0,0.2,1.1,1.3,1.4,2.5,0.4,0.3,0.6,0.9,1,,,,
39,Kevin Lynch,55,14.9,4.1,1.7,4.1,0.1,0.1,0.6,0.8,0.5,1.0,1.5,0.7,0.2,0.8,0,,,,
40,LaBradford Smith,48,14.8,5.1,2.1,5.1,0.0,0.4,0.9,1.2,0.6,1.1,2.1,0.9,0.0,1.3,0,,,,
41,Chris Corchiani,51,14.5,5.0,1.5,3.8,0.2,0.7,1.8,2.0,0.4,1.2,2.8,0.9,0.0,1.4,0,,,,
42,Travis Wear,51,13.2,3.9,1.6,4.1,0.2,0.6,0.4,0.5,0.6,1.5,0.8,0.3,0.2,0.7,0,33.0,204037.0,Travis Wear,2014.0
43,Robert Pack,72,12.4,4.6,1.6,3.8,0.0,0.1,1.4,1.8,0.4,0.9,1.9,0.6,0.1,1.3,1,,,,
44,Pete Chilcutt,69,11.8,3.6,1.6,3.6,0.0,0.0,0.3,0.4,1.1,1.6,0.6,0.5,0.3,0.6,1,,,,
45,Chris Gatling,54,11.3,5.7,2.2,3.8,0.0,0.1,1.3,2.0,1.4,2.0,0.3,0.6,0.7,0.8,1,,,,
46,Tharon Mayes,24,10.6,4.1,1.3,4.1,0.6,1.7,1.0,1.5,0.1,0.5,1.5,0.7,0.1,1.3,0,,,,
47,Eric Murdock,50,9.6,4.1,1.5,3.7,0.1,0.5,0.9,1.2,0.4,0.7,1.8,0.6,0.1,1.0,1,,,,
48,Randy Brown,56,9.6,3.4,1.4,3.0,0.0,0.1,0.7,1.0,0.5,0.8,1.1,0.6,0.2,0.8,1,,,,
49,Greg Sutton,67,9.0,3.7,1.4,3.6,0.4,1.3,0.5,0.7,0.1,0.6,1.4,0.4,0.1,1.0,0,,,,
50,Elliot Perry,50,8.7,2.5,1.0,2.6,0.0,0.1,0.5,0.8,0.3,0.5,1.6,0.7,0.1,1.0,1,,,,
51,Marty Conlon,45,8.5,2.7,1.1,2.2,0.0,0.0,0.5,0.7,0.7,0.8,0.3,0.2,0.2,0.6,1,,,,
52,Rodney Monroe,38,8.2,3.4,1.4,3.8,0.2,0.7,0.5,0.6,0.3,0.6,0.7,0.3,0.1,0.6,0,,,,
53,John Turner,42,8.2,2.8,1.0,2.3,0.0,0.0,0.7,1.4,0.9,1.0,0.3,0.1,0.1,0.8,0,,,,
54,Mark Randall,54,8.2,3.2,1.3,2.8,0.1,0.3,0.6,0.8,0.7,0.6,0.6,0.2,0.1,0.5,0,,,,
55,Sean Green,35,7.3,4.0,1.8,4.5,0.1,0.3,0.4,0.8,0.6,0.6,0.6,0.4,0.2,0.8,0,,,,
56,Kevin Brooks,37,7.3,2.8,1.2,2.6,0.1,0.3,0.5,0.6,0.4,0.7,0.3,0.2,0.1,0.5,0,,,,
57,Doug Lee,46,6.7,2.6,1.1,2.5,0.2,0.8,0.2,0.4,0.4,0.4,0.5,0.2,0.0,0.3,0,,,,
58,Corey Crowder,51,6.4,2.2,0.8,2.2,0.3,0.6,0.3,0.4,0.3,0.5,0.3,0.1,0.0,0.3,0,,,,
59,Rich King,40,5.3,2.2,0.7,1.8,0.0,0.0,0.9,1.1,0.5,0.7,0.3,0.1,0.1,0.5,0,,,,
60,Stephen Thompson,19,4.8,1.6,0.7,1.9,0.0,0.1,0.2,0.4,0.6,0.4,0.4,0.3,0.2,0.3,0,,,,
61,Charles Thomas,36,4.3,1.3,0.5,1.4,0.1,0.5,0.3,0.4,0.2,0.4,0.6,0.1,0.0,0.5,0,,,,
62,Lionel Simmons,79,37.7,18.0,6.9,16.5,0.0,0.1,4.1,5.5,2.4,6.4,4.0,1.4,1.1,2.9,1,,,,
63,Gary Harris,55,13.1,3.4,1.2,3.9,0.4,1.9,0.6,0.9,0.4,0.8,0.5,0.7,0.1,0.7,0,,,,
64,Derrick Coleman,74,35.2,18.4,6.9,14.9,0.2,0.5,4.4,6.0,3.6,6.6,2.2,1.0,1.3,2.9,1,,,,
65,Travis Mays,64,33.5,14.3,4.6,11.3,1.1,3.1,4.0,5.2,0.8,1.9,4.0,1.3,0.2,2.5,0,,,,
66,Dennis Scott,82,28.5,15.7,6.1,14.4,1.5,4.1,1.9,2.5,0.8,2.1,1.6,0.8,0.3,1.6,1,,,,
67,Gary Payton*,82,27.4,7.2,3.2,7.0,0.0,0.2,0.8,1.2,1.3,1.6,6.4,2.0,0.2,2.2,1,,,,
68,Felton Spencer,81,25.9,7.1,2.4,4.7,0.0,0.0,2.2,3.1,3.4,4.6,0.3,0.6,1.5,0.9,1,,,,
69,Willie Burton,76,25.4,12.0,4.5,10.2,0.1,0.4,3.0,3.9,1.5,2.0,1.4,0.9,0.3,1.9,1,,,,
70,Dee Brown,82,23.7,8.7,3.5,7.5,0.1,0.4,1.7,1.9,0.5,1.7,4.2,1.0,0.2,1.7,0,,,,
71,Dee Brown,49,9.2,1.9,0.7,2.0,0.1,0.6,0.5,0.8,0.2,0.7,1.7,0.5,0.1,0.6,0,,,,
72,Kendall Gill,82,23.7,11.0,4.6,10.2,0.0,0.2,1.9,2.2,1.3,1.9,3.7,1.3,0.5,2.0,1,,,,
73,Duane Causwell,76,22.6,6.9,2.8,5.4,0.0,0.0,1.4,2.2,1.9,3.3,0.9,0.6,1.9,1.3,1,,,,
74,Mahmoud Abdul-Rauf,67,22.5,14.1,6.2,15.1,0.4,1.5,1.3,1.5,0.5,1.3,3.1,0.8,0.1,1.6,1,,,,
75,A.J. English,70,20.6,8.8,3.6,8.2,0.0,0.4,1.6,2.2,0.9,1.2,2.5,0.4,0.2,1.6,0,,,,
76,Danny Ferry,81,20.5,8.6,3.4,7.9,0.3,1.0,1.5,1.9,1.2,2.3,1.8,0.5,0.3,1.5,1,,,,
77,Mario Elie,33,19.5,7.2,2.4,4.8,0.1,0.3,2.3,2.7,1.4,1.9,1.4,0.6,0.3,0.9,1,,,,
78,Anthony Cook,58,19.3,5.3,2.0,4.9,0.0,0.1,1.2,2.2,2.3,3.3,0.4,0.6,1.2,0.9,0,,,,
79,Gerald Paddio,70,16.9,7.2,3.0,7.2,0.1,0.3,1.1,1.3,0.5,1.1,1.3,0.3,0.1,1.0,0,,,,
80,Bimbo Coles,82,16.5,4.9,2.0,4.8,0.1,0.4,0.9,1.2,0.7,1.2,2.8,0.8,0.1,1.2,1,,,,
81,Bo Kimble,62,16.2,6.9,2.6,6.7,0.3,1.0,1.5,1.9,0.7,1.2,1.2,0.5,0.1,1.2,0,,,,
82,Alec Kessler,78,16.1,6.2,2.6,6.0,0.0,0.1,1.1,1.7,1.5,2.8,0.4,0.2,0.3,1.4,0,,,,
83,Loy Vaught,73,16.1,5.5,2.4,4.9,0.0,0.0,0.7,1.0,1.7,3.1,0.5,0.3,0.3,0.7,1,,,,
84,Tyrone Hill,74,16.1,5.3,2.0,4.0,0.0,0.0,1.3,2.1,2.1,3.1,0.3,0.5,0.4,1.0,1,,,,
85,Marcus Liberty,76,15.4,6.7,2.8,6.8,0.2,0.8,0.8,1.2,1.5,1.4,0.8,0.6,0.3,0.9,0,,,,
86,Terry Mills,55,14.9,5.7,2.4,5.2,0.0,0.1,0.9,1.2,1.5,2.7,0.6,0.6,0.5,0.8,1,,,,
87,Jamal Robinson,47,14.3,5.6,2.3,5.1,0.0,0.2,1.0,1.7,0.4,1.1,2.8,0.7,0.2,1.6,0,,,,
88,Henry James,37,13.6,8.1,3.0,6.9,0.6,1.6,1.4,1.9,0.7,1.4,0.9,0.4,0.1,1.0,1,,,,
89,Jerrod Mustaf,62,13.3,4.3,1.7,3.7,0.0,0.0,0.9,1.4,0.8,1.9,0.6,0.2,0.2,1.0,0,,,,
90,Kevin Pritchard,62,12.5,3.9,1.4,3.7,0.1,0.5,1.0,1.2,0.3,0.8,1.3,0.5,0.1,0.9,0,,,,
91,Gerald Glass,51,11.9,6.9,2.9,6.7,0.0,0.3,1.0,1.5,1.1,0.9,0.8,0.6,0.2,0.8,0,,,,
92,Larry Robinson,36,11.8,3.9,1.7,4.2,0.0,0.0,0.4,0.8,0.8,0.6,1.0,0.4,0.0,0.8,1,,,,
93,Jud Buechler,74,11.6,3.1,1.3,3.1,0.0,0.1,0.6,0.9,0.8,1.1,0.7,0.5,0.2,0.3,1,,,,
94,Cedric Ceballos,63,11.6,8.2,3.2,6.7,0.0,0.1,1.7,2.6,1.2,1.2,0.6,0.3,0.1,1.1,1,,,,
95,Kyle Anderson,33,10.8,2.2,0.9,2.7,0.1,0.3,0.3,0.4,0.2,2.0,0.8,0.5,0.2,0.3,0,,,,
96,Greg Foster,54,11.2,4.4,1.8,3.9,0.0,0.1,0.8,1.1,1.0,1.8,0.7,0.2,0.4,0.8,1,,,,
97,Brian Oliver,73,11.0,3.8,1.5,3.7,0.1,0.2,0.7,1.0,0.2,0.8,1.2,0.5,0.1,0.7,0,,,,
98,Howard Wright,15,10.9,3.6,1.3,3.1,0.0,0.1,1.1,1.6,0.8,2.2,0.2,0.3,0.3,0.7,0,,,,
99,Tony Smith,64,10.9,3.7,1.5,3.4,0.0,0.1,0.6,0.9,0.4,0.7,2.1,0.4,0.2,1.1,1,,,,
100,Tate George,56,10.6,3.4,1.4,3.4,0.0,0.0,0.6,0.7,0.3,0.5,1.9,0.5,0.1,0.8,0,,,,
101,Rick Calloway,64,10.6,3.2,1.2,3.0,0.0,0.0,0.9,1.2,0.4,0.8,1.0,0.3,0.1,0.8,0,,,,
102,Steve Henson,68,10.1,3.1,1.2,2.8,0.3,0.8,0.6,0.6,0.2,0.5,1.9,0.5,0.0,0.6,1,,,,
103,Andy Toolson,47,10.0,2.9,1.1,2.6,0.3,0.7,0.5,0.7,0.7,0.7,0.7,0.3,0.0,0.5,0,,,,
104,Jayson Williams,52,9.8,3.5,1.4,3.1,0.0,0.0,0.7,1.1,0.8,1.3,0.3,0.2,0.1,0.8,1,,,,
105,Kennard Winchester,64,9.5,3.7,1.5,3.8,0.1,0.3,0.5,0.7,0.5,0.5,0.4,0.3,0.2,0.5,0,,,,
106,Johnny O'Bryant,34,10.8,2.9,1.3,3.5,0.0,0.0,0.4,0.8,0.8,1.1,0.5,0.1,0.1,0.7,0,44.0,203948.0,Johnny O'Bryant III,2014.0
107,Dwayne Schintzius,42,9.5,3.8,1.6,3.7,0.0,0.0,0.5,1.0,0.7,2.2,0.4,0.1,0.7,0.8,1,,,,
108,Sean Higgins,50,9.3,4.5,1.9,4.2,0.1,0.4,0.6,0.7,0.4,0.9,0.7,0.2,0.0,1.0,1,,,,
109,Elden Campbell,52,7.3,2.8,1.1,2.4,0.0,0.0,0.6,0.9,0.8,1.1,0.2,0.2,0.7,0.3,1,,,,
110,Kenny Williams,75,7.0,2.9,1.2,2.4,0.0,0.0,0.5,0.7,0.7,1.0,0.4,0.1,0.4,0.6,0,,,,
111,Keith Askins,39,6.8,2.2,0.9,2.1,0.2,0.6,0.3,0.6,0.8,1.0,0.5,0.4,0.3,0.3,1,,,,
112,Scott Williams,51,6.6,2.5,1.0,2.0,0.0,0.0,0.4,0.5,0.8,1.1,0.3,0.2,0.3,0.5,1,,,,
113,Richard Coffey,52,6.2,1.3,0.5,1.4,0.0,0.0,0.2,0.4,0.8,0.7,0.1,0.1,0.1,0.1,0,,,,
114,Steve Scheffler,39,5.8,1.5,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.6,0.2,0.1,0.1,0.1,1,,,,
115,David Robinson*,82,36.6,24.3,8.4,15.9,0.0,0.0,7.5,10.2,3.7,8.3,2.0,1.7,3.9,3.1,1,,,,
116,James Young,31,10.7,3.4,1.2,3.3,0.5,2.1,0.5,0.9,0.3,1.1,0.4,0.3,0.1,0.2,0,39.0,203923.0,James Young,2014.0
117,Tim Hardaway,79,33.7,14.7,5.9,12.5,0.3,1.1,2.7,3.5,0.7,3.2,8.7,2.1,0.1,3.3,0,,,,
118,J.R. Reid,82,33.6,11.1,4.4,9.9,0.0,0.1,2.3,3.5,2.4,6.0,1.2,1.1,0.7,2.1,1,,,,
119,Pooh Richardson,82,31.5,11.4,5.2,11.3,0.3,1.0,0.8,1.3,0.7,2.0,6.8,1.6,0.3,1.7,1,,,,
120,Sherman Douglas,81,30.5,14.3,5.7,11.6,0.1,0.4,2.8,4.0,0.9,1.7,7.6,1.8,0.1,3.0,1,,,,
121,Sam Mitchell,80,30.2,12.7,4.7,10.4,0.0,0.1,3.4,4.4,2.3,3.5,1.1,0.8,0.7,1.2,1,,,,
122,Glen Rice,77,30.0,13.6,6.1,13.9,0.2,0.9,1.2,1.6,1.3,3.3,1.8,0.9,0.3,1.5,1,,,,
123,Mookie Blaylock,50,25.3,10.1,4.2,11.4,0.4,1.6,1.3,1.6,0.8,2.0,4.2,1.6,0.3,2.2,1,,,,
124,Sean Elliott,81,25.1,10.0,3.8,8.0,0.0,0.1,2.3,2.7,1.6,2.1,1.9,0.6,0.2,1.4,1,,,,
125,Blue Edwards,82,23.0,8.9,3.5,6.9,0.1,0.4,1.8,2.5,0.8,2.2,1.8,0.9,0.4,1.9,1,,,,
126,Cory Jefferson,50,10.6,3.7,1.5,3.3,0.0,0.3,0.6,1.1,0.9,2.0,0.3,0.2,0.4,0.4,0,36.0,203928.0,Cory Jefferson,2014.0
127,Nick Anderson,81,22.0,11.5,4.6,9.3,0.0,0.2,2.3,3.3,1.3,2.6,1.5,0.8,0.4,1.7,1,,,,
128,Stacey King,82,21.7,8.9,3.3,6.5,0.0,0.0,2.4,3.3,2.1,2.6,1.1,0.5,0.7,1.4,1,,,,
129,Dana Barros,81,20.1,9.7,3.7,9.1,1.2,2.9,1.1,1.4,0.4,1.2,2.5,0.7,0.0,1.5,1,,,,
130,Jeff Martin,69,19.6,6.3,2.5,6.0,0.0,0.2,1.3,1.9,1.1,1.2,0.6,0.6,0.2,0.7,0,,,,
131,Clifford Robinson,82,19.1,9.1,3.6,9.2,0.1,0.5,1.7,3.1,1.3,2.4,0.9,0.7,0.7,1.6,1,,,,
132,Winston Bennett,55,18.0,6.1,2.5,5.2,0.0,0.0,1.2,1.7,1.5,1.9,1.0,0.4,0.2,1.1,0,,,,
133,Chucky Brown,75,17.9,7.3,2.8,6.0,0.0,0.1,1.7,2.2,1.1,2.0,0.7,0.4,0.3,0.9,1,,,,
134,Michael Ansley,72,17.0,8.7,3.2,6.5,0.0,0.0,2.3,3.2,2.6,2.4,0.6,0.3,0.2,0.7,0,,,,
135,Todd Lichti,79,16.8,8.0,3.2,6.5,0.0,0.2,1.6,2.2,0.6,1.3,1.5,0.7,0.2,1.2,1,,,,
136,Noah Vonleh,25,10.4,3.3,1.2,3.0,0.2,0.5,0.7,1.0,1.1,2.3,0.2,0.2,0.4,0.4,0,,,,
137,B.J. Armstrong,81,15.9,5.6,2.3,4.8,0.0,0.1,0.9,1.0,0.2,1.0,2.5,0.6,0.1,1.0,1,,,,
138,Terry Davis,63,14.0,4.7,1.9,4.2,0.0,0.0,0.9,1.4,1.5,2.2,0.4,0.4,0.4,1.1,1,,,,
139,Shawn Kemp,81,13.8,6.5,2.5,5.2,0.0,0.1,1.4,2.0,1.8,2.5,0.3,0.6,0.9,1.3,1,,,,
140,Tom Hammonds,61,13.2,5.3,2.1,4.8,0.0,0.0,1.0,1.6,1.0,1.8,0.8,0.2,0.2,0.8,1,,,,
141,Scott Haffner,43,13.0,4.6,2.0,5.0,0.1,0.5,0.4,0.6,0.2,1.0,1.9,0.3,0.1,0.8,0,,,,
142,Randy White,55,12.9,4.3,1.7,4.6,0.0,0.3,0.9,1.6,1.4,1.7,0.4,0.4,0.1,0.8,1,,,,
143,Kenny Battle,59,12.4,4.1,1.6,2.9,0.0,0.1,0.9,1.4,0.7,1.4,0.6,0.6,0.2,0.5,0,,,,
144,Donald Royal,66,11.3,5.9,1.8,3.9,0.0,0.0,2.3,3.0,1.0,1.0,0.7,0.5,0.1,1.2,1,,,,
145,Michael Carter-Williams,70,34.5,16.7,6.1,15.1,0.8,3.0,3.7,5.2,1.4,4.8,6.3,1.9,0.6,3.5,0,,,,
146,Delaney Rudd,77,11.0,3.5,1.4,3.4,0.2,0.7,0.5,0.7,0.2,0.6,2.3,0.3,0.0,1.1,0,,,,
147,John Morton,37,10.9,3.9,1.3,4.4,0.2,0.8,1.2,1.7,0.2,0.7,1.8,0.5,0.1,1.4,0,,,,
148,Greg Grant,67,10.1,3.1,1.2,3.2,0.0,0.2,0.6,0.9,0.2,0.6,2.5,0.5,0.0,1.1,1,,,,
149,Doug Roth,42,9.8,1.9,0.9,2.0,0.0,0.0,0.2,0.3,1.0,1.8,0.5,0.2,0.3,0.4,0,,,,
150,Byron Irvin,50,9.8,5.2,1.9,4.1,0.1,0.3,1.2,1.8,0.6,0.9,0.9,0.6,0.0,0.8,0,,,,
151,Michael Smith,65,9.5,5.0,2.1,4.4,0.0,0.4,0.8,1.0,0.6,0.9,1.2,0.1,0.0,0.8,0,,,,
152,Michael Smith,82,21.2,6.9,2.7,5.0,0.0,0.0,1.5,3.2,2.1,3.8,0.8,0.7,0.6,1.3,0,,,,
153,George McCloud,44,9.4,2.7,1.0,3.3,0.3,0.9,0.3,0.4,0.3,0.7,1.0,0.4,0.1,0.8,1,,,,
154,Henry Turner,36,8.8,4.3,1.6,3.4,0.0,0.1,1.1,1.8,0.6,0.8,0.6,0.5,0.2,0.7,0,,,,
155,Charles Smith,60,8.7,2.9,1.0,2.2,0.0,0.1,0.9,1.3,0.2,0.9,1.7,0.6,0.1,0.6,1,,,,
156,Charles Smith,71,30.4,16.3,6.1,12.4,0.0,0.0,4.0,5.5,2.4,4.1,1.5,1.0,1.3,2.1,1,,,,
157,Charles Smith,34,8.6,3.5,1.4,3.7,0.4,1.4,0.2,0.3,0.4,0.4,0.6,0.3,0.2,0.8,1,,,,
158,Ed Horton,45,8.3,4.5,1.8,3.6,0.0,0.1,0.9,1.5,1.3,1.1,0.4,0.2,0.1,0.9,0,,,,
159,Trey Burke,70,32.3,12.8,4.9,12.8,1.6,4.8,1.5,1.6,0.5,2.4,5.7,0.6,0.1,1.9,0,,,,
160,Frank Kornet,57,7.7,2.0,0.7,2.0,0.1,0.4,0.4,0.7,0.4,0.8,0.4,0.3,0.1,0.4,0,,,,
161,Doug West,52,7.3,2.6,1.0,2.6,0.1,0.2,0.5,0.6,0.5,0.9,0.3,0.2,0.1,0.6,1,,,,
162,Adrian Caldwell,51,6.5,1.9,0.8,1.5,0.0,0.0,0.3,0.5,0.7,1.4,0.1,0.2,0.3,0.6,1,,,,
163,Kenny Payne,35,6.2,3.3,1.3,3.1,0.1,0.3,0.5,0.5,0.3,0.4,0.3,0.2,0.2,0.6,0,,,,
164,Eric Johnson,48,5.7,1.1,0.4,1.8,0.0,0.1,0.3,0.4,0.2,0.4,1.3,0.3,0.0,0.5,0,,,,
165,Mike Williams,21,4.9,0.7,0.3,0.9,0.0,0.0,0.1,0.3,0.2,0.9,0.1,0.1,0.3,0.1,0,,,,
166,Mike Morrison,36,4.3,2.0,0.6,1.9,0.1,0.2,0.7,0.8,0.2,0.4,0.3,0.1,0.0,0.6,0,,,,
167,Nate Johnston,21,4.1,2.2,0.9,2.3,0.0,0.2,0.4,0.6,0.6,0.5,0.0,0.1,0.4,0.3,0,,,,
168,Mitch Richmond*,79,34.4,22.0,8.2,17.5,0.4,1.1,5.2,6.4,2.0,3.9,4.2,1.0,0.2,3.4,1,,,,
169,Willie Anderson,81,33.8,18.6,7.9,15.9,0.0,0.3,2.8,3.6,1.9,3.3,4.6,1.9,0.8,3.2,1,,,,
170,Victor Oladipo,80,31.1,13.8,4.9,11.7,0.9,2.8,3.1,4.0,0.5,3.6,4.1,1.6,0.5,3.2,0,,,,
171,Hersey Hawkins,79,32.6,15.1,5.6,12.3,0.9,2.1,3.1,3.7,0.6,2.2,3.0,1.5,0.5,2.0,1,,,,
172,Kevin Edwards,79,29.7,13.8,5.9,14.0,0.1,0.5,1.8,2.4,1.1,2.2,4.4,1.8,0.3,3.1,1,,,,
173,Grant Long,82,29.7,11.9,4.1,8.4,0.0,0.1,3.7,5.0,2.9,3.7,1.8,1.5,0.6,2.5,1,,,,
174,Rex Chapman,75,29.6,16.9,7.0,16.9,0.8,2.5,2.1,2.6,1.0,1.5,2.3,0.9,0.3,1.5,1,,,,
175,Brian Shaw,82,28.1,8.6,3.6,8.4,0.0,0.2,1.3,1.6,1.5,3.1,5.8,0.9,0.3,2.3,1,,,,
176,Chris Morris,76,27.6,14.1,5.4,11.9,0.8,2.3,2.4,3.3,2.5,2.8,1.6,1.3,0.8,2.5,1,,,,
177,Gary Grant,71,27.1,11.9,5.1,11.7,0.1,0.3,1.7,2.3,1.1,2.2,7.1,2.0,0.1,3.6,1,,,,
178,Vernon Maxwell,79,26.1,11.7,4.5,10.5,0.4,1.6,2.3,3.1,0.6,1.9,3.8,1.1,0.1,2.3,1,,,,
179,Ben McLemore,82,26.7,8.8,3.1,8.3,1.2,3.6,1.4,1.7,0.6,2.2,1.0,0.6,0.2,1.2,0,,,,
180,Dan Majerle,54,25.1,8.6,3.4,8.0,0.5,1.5,1.4,2.4,1.1,2.7,2.4,1.2,0.3,0.9,1,,,,
181,Sylvester Gray,55,22.2,8.0,3.0,7.2,0.0,0.1,1.9,2.8,2.1,3.1,2.1,0.7,0.5,1.9,0,,,,
182,Ricky Berry,64,22.0,11.0,4.0,8.9,1.0,2.5,2.0,2.6,0.9,2.2,1.3,0.6,0.3,1.3,0,,,,
183,Tom Garrick,71,21.1,6.4,2.5,5.1,0.0,0.2,1.4,1.8,0.5,1.7,3.4,1.1,0.1,1.6,0,,,,
