Name,GP,MIN,PTS,FGS,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,5Yrs
Doug Lee,46,6.7,2.6,1.1,2.5,0.2,0.8,0.2,0.4,0.4,0.4,0.5,0.2,0.0,0.3,0
Corey Crowder,51,6.4,2.2,0.8,2.2,0.3,0.6,0.3,0.4,0.3,0.5,0.3,0.1,0.0,0.3,0
Rich King,40,5.3,2.2,0.7,1.8,0.0,0.0,0.9,1.1,0.5,0.7,0.3,0.1,0.1,0.5,0
Stephen Thompson,19,4.8,1.6,0.7,1.9,0.0,0.1,0.2,0.4,0.6,0.4,0.4,0.3,0.2,0.3,0
Charles Thomas,36,4.3,1.3,0.5,1.4,0.1,0.5,0.3,0.4,0.2,0.4,0.6,0.1,0.0,0.5,0
Lionel Simmons,79,37.7,18.0,6.9,16.5,0.0,0.1,4.1,5.5,2.4,6.4,4.0,1.4,1.1,2.9,1
Gary Harris,55,13.1,3.4,1.2,3.9,0.4,1.9,0.6,0.9,0.4,0.8,0.5,0.7,0.1,0.7,0
Derrick Coleman,74,35.2,18.4,6.9,14.9,0.2,0.5,4.4,6.0,3.6,6.6,2.2,1.0,1.3,2.9,1
Travis Mays,64,33.5,14.3,4.6,11.3,1.1,3.1,4.0,5.2,0.8,1.9,4.0,1.3,0.2,2.5,0
Dennis Scott,82,28.5,15.7,6.1,14.4,1.5,4.1,1.9,2.5,0.8,2.1,1.6,0.8,0.3,1.6,1
Gary Payton*,82,27.4,7.2,3.2,7.0,0.0,0.2,0.8,1.2,1.3,1.6,6.4,2.0,0.2,2.2,1
Felton Spencer,81,25.9,7.1,2.4,4.7,0.0,0.0,2.2,3.1,3.4,4.6,0.3,0.6,1.5,0.9,1
Willie Burton,76,25.4,12.0,4.5,10.2,0.1,0.4,3.0,3.9,1.5,2.0,1.4,0.9,0.3,1.9,1
Dee Brown,82,23.7,8.7,3.5,7.5,0.1,0.4,1.7,1.9,0.5,1.7,4.2,1.0,0.2,1.7,0
Dee Brown,49,9.2,1.9,0.7,2.0,0.1,0.6,0.5,0.8,0.2,0.7,1.7,0.5,0.1,0.6,0
Kendall Gill,82,23.7,11.0,4.6,10.2,0.0,0.2,1.9,2.2,1.3,1.9,3.7,1.3,0.5,2.0,1
Duane Causwell,76,22.6,6.9,2.8,5.4,0.0,0.0,1.4,2.2,1.9,3.3,0.9,0.6,1.9,1.3,1
Mahmoud Abdul-Rauf,67,22.5,14.1,6.2,15.1,0.4,1.5,1.3,1.5,0.5,1.3,3.1,0.8,0.1,1.6,1
A.J. English,70,20.6,8.8,3.6,8.2,0.0,0.4,1.6,2.2,0.9,1.2,2.5,0.4,0.2,1.6,0
Danny Ferry,81,20.5,8.6,3.4,7.9,0.3,1.0,1.5,1.9,1.2,2.3,1.8,0.5,0.3,1.5,1
Mario Elie,33,19.5,7.2,2.4,4.8,0.1,0.3,2.3,2.7,1.4,1.9,1.4,0.6,0.3,0.9,1
Anthony Cook,58,19.3,5.3,2.0,4.9,0.0,0.1,1.2,2.2,2.3,3.3,0.4,0.6,1.2,0.9,0
Gerald Paddio,70,16.9,7.2,3.0,7.2,0.1,0.3,1.1,1.3,0.5,1.1,1.3,0.3,0.1,1.0,0
Bimbo Coles,82,16.5,4.9,2.0,4.8,0.1,0.4,0.9,1.2,0.7,1.2,2.8,0.8,0.1,1.2,1
Bo Kimble,62,16.2,6.9,2.6,6.7,0.3,1.0,1.5,1.9,0.7,1.2,1.2,0.5,0.1,1.2,0
Alec Kessler,78,16.1,6.2,2.6,6.0,0.0,0.1,1.1,1.7,1.5,2.8,0.4,0.2,0.3,1.4,0
Loy Vaught,73,16.1,5.5,2.4,4.9,0.0,0.0,0.7,1.0,1.7,3.1,0.5,0.3,0.3,0.7,1
Tyrone Hill,74,16.1,5.3,2.0,4.0,0.0,0.0,1.3,2.1,2.1,3.1,0.3,0.5,0.4,1.0,1
Marcus Liberty,76,15.4,6.7,2.8,6.8,0.2,0.8,0.8,1.2,1.5,1.4,0.8,0.6,0.3,0.9,0
Terry Mills,55,14.9,5.7,2.4,5.2,0.0,0.1,0.9,1.2,1.5,2.7,0.6,0.6,0.5,0.8,1
Jamal Robinson,47,14.3,5.6,2.3,5.1,0.0,0.2,1.0,1.7,0.4,1.1,2.8,0.7,0.2,1.6,0
Henry James,37,13.6,8.1,3.0,6.9,0.6,1.6,1.4,1.9,0.7,1.4,0.9,0.4,0.1,1.0,1
Jerrod Mustaf,62,13.3,4.3,1.7,3.7,0.0,0.0,0.9,1.4,0.8,1.9,0.6,0.2,0.2,1.0,0
Kevin Pritchard,62,12.5,3.9,1.4,3.7,0.1,0.5,1.0,1.2,0.3,0.8,1.3,0.5,0.1,0.9,0
Gerald Glass,51,11.9,6.9,2.9,6.7,0.0,0.3,1.0,1.5,1.1,0.9,0.8,0.6,0.2,0.8,0
Larry Robinson,36,11.8,3.9,1.7,4.2,0.0,0.0,0.4,0.8,0.8,0.6,1.0,0.4,0.0,0.8,1
Jud Buechler,74,11.6,3.1,1.3,3.1,0.0,0.1,0.6,0.9,0.8,1.1,0.7,0.5,0.2,0.3,1
Cedric Ceballos,63,11.6,8.2,3.2,6.7,0.0,0.1,1.7,2.6,1.2,1.2,0.6,0.3,0.1,1.1,1
Kyle Anderson,33,10.8,2.2,0.9,2.7,0.1,0.3,0.3,0.4,0.2,2.0,0.8,0.5,0.2,0.3,0
Greg Foster,54,11.2,4.4,1.8,3.9,0.0,0.1,0.8,1.1,1.0,1.8,0.7,0.2,0.4,0.8,1
Brian Oliver,73,11.0,3.8,1.5,3.7,0.1,0.2,0.7,1.0,0.2,0.8,1.2,0.5,0.1,0.7,0
Howard Wright,15,10.9,3.6,1.3,3.1,0.0,0.1,1.1,1.6,0.8,2.2,0.2,0.3,0.3,0.7,0
Tony Smith,64,10.9,3.7,1.5,3.4,0.0,0.1,0.6,0.9,0.4,0.7,2.1,0.4,0.2,1.1,1
Tate George,56,10.6,3.4,1.4,3.4,0.0,0.0,0.6,0.7,0.3,0.5,1.9,0.5,0.1,0.8,0
Rick Calloway,64,10.6,3.2,1.2,3.0,0.0,0.0,0.9,1.2,0.4,0.8,1.0,0.3,0.1,0.8,0
Steve Henson,68,10.1,3.1,1.2,2.8,0.3,0.8,0.6,0.6,0.2,0.5,1.9,0.5,0.0,0.6,1
Andy Toolson,47,10.0,2.9,1.1,2.6,0.3,0.7,0.5,0.7,0.7,0.7,0.7,0.3,0.0,0.5,0
Jayson Williams,52,9.8,3.5,1.4,3.1,0.0,0.0,0.7,1.1,0.8,1.3,0.3,0.2,0.1,0.8,1
Kennard Winchester,64,9.5,3.7,1.5,3.8,0.1,0.3,0.5,0.7,0.5,0.5,0.4,0.3,0.2,0.5,0
Johnny O'Bryant,34,10.8,2.9,1.3,3.5,0.0,0.0,0.4,0.8,0.8,1.1,0.5,0.1,0.1,0.7,0
Dwayne Schintzius,42,9.5,3.8,1.6,3.7,0.0,0.0,0.5,1.0,0.7,2.2,0.4,0.1,0.7,0.8,1
Sean Higgins,50,9.3,4.5,1.9,4.2,0.1,0.4,0.6,0.7,0.4,0.9,0.7,0.2,0.0,1.0,1
Elden Campbell,52,7.3,2.8,1.1,2.4,0.0,0.0,0.6,0.9,0.8,1.1,0.2,0.2,0.7,0.3,1
Kenny Williams,75,7.0,2.9,1.2,2.4,0.0,0.0,0.5,0.7,0.7,1.0,0.4,0.1,0.4,0.6,0
Keith Askins,39,6.8,2.2,0.9,2.1,0.2,0.6,0.3,0.6,0.8,1.0,0.5,0.4,0.3,0.3,1
Scott Williams,51,6.6,2.5,1.0,2.0,0.0,0.0,0.4,0.5,0.8,1.1,0.3,0.2,0.3,0.5,1
Richard Coffey,52,6.2,1.3,0.5,1.4,0.0,0.0,0.2,0.4,0.8,0.7,0.1,0.1,0.1,0.1,0
Steve Scheffler,39,5.8,1.5,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.6,0.2,0.1,0.1,0.1,1
David Robinson*,82,36.6,24.3,8.4,15.9,0.0,0.0,7.5,10.2,3.7,8.3,2.0,1.7,3.9,3.1,1
James Young,31,10.7,3.4,1.2,3.3,0.5,2.1,0.5,0.9,0.3,1.1,0.4,0.3,0.1,0.2,0
Tim Hardaway,79,33.7,14.7,5.9,12.5,0.3,1.1,2.7,3.5,0.7,3.2,8.7,2.1,0.1,3.3,0
J.R. Reid,82,33.6,11.1,4.4,9.9,0.0,0.1,2.3,3.5,2.4,6.0,1.2,1.1,0.7,2.1,1
Pooh Richardson,82,31.5,11.4,5.2,11.3,0.3,1.0,0.8,1.3,0.7,2.0,6.8,1.6,0.3,1.7,1
Sherman Douglas,81,30.5,14.3,5.7,11.6,0.1,0.4,2.8,4.0,0.9,1.7,7.6,1.8,0.1,3.0,1
Sam Mitchell,80,30.2,12.7,4.7,10.4,0.0,0.1,3.4,4.4,2.3,3.5,1.1,0.8,0.7,1.2,1
Glen Rice,77,30.0,13.6,6.1,13.9,0.2,0.9,1.2,1.6,1.3,3.3,1.8,0.9,0.3,1.5,1
Mookie Blaylock,50,25.3,10.1,4.2,11.4,0.4,1.6,1.3,1.6,0.8,2.0,4.2,1.6,0.3,2.2,1
Sean Elliott,81,25.1,10.0,3.8,8.0,0.0,0.1,2.3,2.7,1.6,2.1,1.9,0.6,0.2,1.4,1
Blue Edwards,82,23.0,8.9,3.5,6.9,0.1,0.4,1.8,2.5,0.8,2.2,1.8,0.9,0.4,1.9,1
Cory Jefferson,50,10.6,3.7,1.5,3.3,0.0,0.3,0.6,1.1,0.9,2.0,0.3,0.2,0.4,0.4,0
Nick Anderson,81,22.0,11.5,4.6,9.3,0.0,0.2,2.3,3.3,1.3,2.6,1.5,0.8,0.4,1.7,1
Stacey King,82,21.7,8.9,3.3,6.5,0.0,0.0,2.4,3.3,2.1,2.6,1.1,0.5,0.7,1.4,1
Dana Barros,81,20.1,9.7,3.7,9.1,1.2,2.9,1.1,1.4,0.4,1.2,2.5,0.7,0.0,1.5,1
Jeff Martin,69,19.6,6.3,2.5,6.0,0.0,0.2,1.3,1.9,1.1,1.2,0.6,0.6,0.2,0.7,0
Clifford Robinson,82,19.1,9.1,3.6,9.2,0.1,0.5,1.7,3.1,1.3,2.4,0.9,0.7,0.7,1.6,1
Winston Bennett,55,18.0,6.1,2.5,5.2,0.0,0.0,1.2,1.7,1.5,1.9,1.0,0.4,0.2,1.1,0
Chucky Brown,75,17.9,7.3,2.8,6.0,0.0,0.1,1.7,2.2,1.1,2.0,0.7,0.4,0.3,0.9,1
Michael Ansley,72,17.0,8.7,3.2,6.5,0.0,0.0,2.3,3.2,2.6,2.4,0.6,0.3,0.2,0.7,0
Todd Lichti,79,16.8,8.0,3.2,6.5,0.0,0.2,1.6,2.2,0.6,1.3,1.5,0.7,0.2,1.2,1
Noah Vonleh,25,10.4,3.3,1.2,3.0,0.2,0.5,0.7,1.0,1.1,2.3,0.2,0.2,0.4,0.4,0
B.J. Armstrong,81,15.9,5.6,2.3,4.8,0.0,0.1,0.9,1.0,0.2,1.0,2.5,0.6,0.1,1.0,1
Terry Davis,63,14.0,4.7,1.9,4.2,0.0,0.0,0.9,1.4,1.5,2.2,0.4,0.4,0.4,1.1,1
Shawn Kemp,81,13.8,6.5,2.5,5.2,0.0,0.1,1.4,2.0,1.8,2.5,0.3,0.6,0.9,1.3,1
Tom Hammonds,61,13.2,5.3,2.1,4.8,0.0,0.0,1.0,1.6,1.0,1.8,0.8,0.2,0.2,0.8,1
Scott Haffner,43,13.0,4.6,2.0,5.0,0.1,0.5,0.4,0.6,0.2,1.0,1.9,0.3,0.1,0.8,0
Randy White,55,12.9,4.3,1.7,4.6,0.0,0.3,0.9,1.6,1.4,1.7,0.4,0.4,0.1,0.8,1
Kenny Battle,59,12.4,4.1,1.6,2.9,0.0,0.1,0.9,1.4,0.7,1.4,0.6,0.6,0.2,0.5,0
Donald Royal,66,11.3,5.9,1.8,3.9,0.0,0.0,2.3,3.0,1.0,1.0,0.7,0.5,0.1,1.2,1
Michael Carter-Williams,70,34.5,16.7,6.1,15.1,0.8,3.0,3.7,5.2,1.4,4.8,6.3,1.9,0.6,3.5,0
Delaney Rudd,77,11.0,3.5,1.4,3.4,0.2,0.7,0.5,0.7,0.2,0.6,2.3,0.3,0.0,1.1,0
John Morton,37,10.9,3.9,1.3,4.4,0.2,0.8,1.2,1.7,0.2,0.7,1.8,0.5,0.1,1.4,0
Greg Grant,67,10.1,3.1,1.2,3.2,0.0,0.2,0.6,0.9,0.2,0.6,2.5,0.5,0.0,1.1,1
Doug Roth,42,9.8,1.9,0.9,2.0,0.0,0.0,0.2,0.3,1.0,1.8,0.5,0.2,0.3,0.4,0
Byron Irvin,50,9.8,5.2,1.9,4.1,0.1,0.3,1.2,1.8,0.6,0.9,0.9,0.6,0.0,0.8,0
Michael Smith,65,9.5,5.0,2.1,4.4,0.0,0.4,0.8,1.0,0.6,0.9,1.2,0.1,0.0,0.8,0
Michael Smith,82,21.2,6.9,2.7,5.0,0.0,0.0,1.5,3.2,2.1,3.8,0.8,0.7,0.6,1.3,0
George McCloud,44,9.4,2.7,1.0,3.3,0.3,0.9,0.3,0.4,0.3,0.7,1.0,0.4,0.1,0.8,1
Henry Turner,36,8.8,4.3,1.6,3.4,0.0,0.1,1.1,1.8,0.6,0.8,0.6,0.5,0.2,0.7,0
Charles Smith,60,8.7,2.9,1.0,2.2,0.0,0.1,0.9,1.3,0.2,0.9,1.7,0.6,0.1,0.6,1
Charles Smith,71,30.4,16.3,6.1,12.4,0.0,0.0,4.0,5.5,2.4,4.1,1.5,1.0,1.3,2.1,1
Charles Smith,34,8.6,3.5,1.4,3.7,0.4,1.4,0.2,0.3,0.4,0.4,0.6,0.3,0.2,0.8,1
Ed Horton,45,8.3,4.5,1.8,3.6,0.0,0.1,0.9,1.5,1.3,1.1,0.4,0.2,0.1,0.9,0
Trey Burke,70,32.3,12.8,4.9,12.8,1.6,4.8,1.5,1.6,0.5,2.4,5.7,0.6,0.1,1.9,0
Frank Kornet,57,7.7,2.0,0.7,2.0,0.1,0.4,0.4,0.7,0.4,0.8,0.4,0.3,0.1,0.4,0
Doug West,52,7.3,2.6,1.0,2.6,0.1,0.2,0.5,0.6,0.5,0.9,0.3,0.2,0.1,0.6,1
Adrian Caldwell,51,6.5,1.9,0.8,1.5,0.0,0.0,0.3,0.5,0.7,1.4,0.1,0.2,0.3,0.6,1
Kenny Payne,35,6.2,3.3,1.3,3.1,0.1,0.3,0.5,0.5,0.3,0.4,0.3,0.2,0.2,0.6,0
Eric Johnson,48,5.7,1.1,0.4,1.8,0.0,0.1,0.3,0.4,0.2,0.4,1.3,0.3,0.0,0.5,0
Mike Williams,21,4.9,0.7,0.3,0.9,0.0,0.0,0.1,0.3,0.2,0.9,0.1,0.1,0.3,0.1,0
Mike Morrison,36,4.3,2.0,0.6,1.9,0.1,0.2,0.7,0.8,0.2,0.4,0.3,0.1,0.0,0.6,0
Nate Johnston,21,4.1,2.2,0.9,2.3,0.0,0.2,0.4,0.6,0.6,0.5,0.0,0.1,0.4,0.3,0
Mitch Richmond*,79,34.4,22.0,8.2,17.5,0.4,1.1,5.2,6.4,2.0,3.9,4.2,1.0,0.2,3.4,1
Willie Anderson,81,33.8,18.6,7.9,15.9,0.0,0.3,2.8,3.6,1.9,3.3,4.6,1.9,0.8,3.2,1
Victor Oladipo,80,31.1,13.8,4.9,11.7,0.9,2.8,3.1,4.0,0.5,3.6,4.1,1.6,0.5,3.2,0
Hersey Hawkins,79,32.6,15.1,5.6,12.3,0.9,2.1,3.1,3.7,0.6,2.2,3.0,1.5,0.5,2.0,1
Kevin Edwards,79,29.7,13.8,5.9,14.0,0.1,0.5,1.8,2.4,1.1,2.2,4.4,1.8,0.3,3.1,1
Grant Long,82,29.7,11.9,4.1,8.4,0.0,0.1,3.7,5.0,2.9,3.7,1.8,1.5,0.6,2.5,1
Rex Chapman,75,29.6,16.9,7.0,16.9,0.8,2.5,2.1,2.6,1.0,1.5,2.3,0.9,0.3,1.5,1
Brian Shaw,82,28.1,8.6,3.6,8.4,0.0,0.2,1.3,1.6,1.5,3.1,5.8,0.9,0.3,2.3,1
Chris Morris,76,27.6,14.1,5.4,11.9,0.8,2.3,2.4,3.3,2.5,2.8,1.6,1.3,0.8,2.5,1
Gary Grant,71,27.1,11.9,5.1,11.7,0.1,0.3,1.7,2.3,1.1,2.2,7.1,2.0,0.1,3.6,1
Vernon Maxwell,79,26.1,11.7,4.5,10.5,0.4,1.6,2.3,3.1,0.6,1.9,3.8,1.1,0.1,2.3,1
Ben McLemore,82,26.7,8.8,3.1,8.3,1.2,3.6,1.4,1.7,0.6,2.2,1.0,0.6,0.2,1.2,0
Dan Majerle,54,25.1,8.6,3.4,8.0,0.5,1.5,1.4,2.4,1.1,2.7,2.4,1.2,0.3,0.9,1
Sylvester Gray,55,22.2,8.0,3.0,7.2,0.0,0.1,1.9,2.8,2.1,3.1,2.1,0.7,0.5,1.9,0
Ricky Berry,64,22.0,11.0,4.0,8.9,1.0,2.5,2.0,2.6,0.9,2.2,1.3,0.6,0.3,1.3,0
Tom Garrick,71,21.1,6.4,2.5,5.1,0.0,0.2,1.4,1.8,0.5,1.7,3.4,1.1,0.1,1.6,0
Michael Anderson,36,20.3,5.7,2.0,4.9,0.0,0.2,1.6,2.3,1.2,1.3,4.3,1.2,0.1,2.3,0
Michael Anderson,65,18.5,7.4,2.9,5.8,0.0,0.1,1.5,2.7,1.8,2.7,1.0,1.0,0.3,1.2,0
Vinny Del Negro,80,19.5,7.1,3.0,6.3,0.1,0.3,1.1,1.3,0.6,1.5,2.6,0.8,0.2,1.0,1
Kelvin Upshaw,32,19.3,6.8,3.1,6.6,0.1,0.5,0.6,0.8,0.3,1.2,3.7,0.8,0.1,1.7,0
Derrick Chievous,81,19.0,9.3,3.4,7.8,0.1,0.3,2.4,3.0,1.4,1.8,1.0,0.6,0.1,1.7,0
Ledell Eackles,80,18.2,11.5,4.0,9.2,0.1,0.5,3.4,4.3,1.3,1.0,1.5,0.5,0.1,1.6,1
Harvey Grant,71,16.8,5.6,2.5,5.5,0.0,0.0,0.5,0.8,1.1,1.2,1.1,0.5,0.4,0.4,1
Rod Strickland,81,16.8,8.9,3.3,7.0,0.2,0.7,2.1,2.9,0.6,1.3,3.9,1.2,0.0,1.8,1
Scott Brooks,82,16.7,5.2,1.9,4.5,0.7,1.9,0.7,0.8,0.2,0.9,3.7,0.8,0.0,0.8,1
Todd Mitchell,24,14.7,5.1,1.8,4.0,0.0,0.0,1.5,2.7,0.8,1.3,0.9,0.7,0.1,1.4,0
John Shasky,65,14.5,5.5,1.9,3.8,0.0,0.0,1.8,2.6,1.5,2.1,0.3,0.2,0.2,0.7,0
Mark Bryant,56,14.3,5.0,2.1,4.4,0.0,0.0,0.7,1.2,1.2,2.0,0.6,0.4,0.1,0.7,1
Mark Bryant,36,7.0,1.6,0.7,1.6,0.0,0.0,0.3,0.4,0.7,1.2,0.2,0.1,0.1,0.3,1
Shelton Jones,51,13.4,4.8,1.8,4.1,0.0,0.0,1.1,1.6,0.6,1.6,0.8,0.4,0.3,0.9,0
Eric Leckner,75,10.4,4.3,1.6,2.9,0.0,0.0,1.1,1.5,0.6,2.0,0.2,0.1,0.3,0.9,1
Jerome Lane,54,10.2,4.8,2.0,4.7,0.0,0.1,0.8,2.1,1.6,2.1,1.1,0.4,0.1,0.9,1
Tim Perry,62,9.9,4.1,1.7,3.2,0.0,0.1,0.6,1.0,1.0,1.1,0.3,0.3,0.5,0.6,1
Jim Les,82,9.5,1.7,0.5,1.6,0.0,0.2,0.7,0.9,0.3,0.8,2.6,0.3,0.1,1.1,1
Craig Neal,53,9.4,2.2,0.8,2.3,0.2,0.6,0.3,0.4,0.1,0.4,2.2,0.5,0.1,1.0,0
